rank,title,artist,year,preview_url
1,Theme from A Summer Place,Percy Faith,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d6/ea/d5/d6ead541-31ee-a6ea-572b-4de1dbc495d0/mzaf_14883410986499245740.plus.aac.p.m4a
2,He'll Have to Go,Jim Reeves,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/46/7c/45/467c4551-bef2-4145-25e2-a07e7d0b0fdc/mzaf_2677579581695167625.plus.aac.p.m4a
3,Cathy's Clown,The Everly Brothers,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/eb/dc/9c/ebdc9cf5-69f0-c6a7-23e0-67bc1a204aa9/mzaf_17181079932454681851.plus.aac.p.m4a
4,Running Bear,Johnny Preston,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d1/7e/d8/d17ed82a-e8ec-66fa-b3d7-794a68817f8e/mzaf_12834678838704420682.plus.aac.p.m4a
5,Teen Angel,Mark Dinning,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/7d/8e/68/7d8e6877-37cb-e7dd-3912-29b932634d13/mzaf_2075393734120661138.plus.aac.p.m4a
6,I'm Sorry,Brenda Lee,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/47/82/04/47820483-f4da-f9e9-941d-d764315c848d/mzaf_11584761748954615558.plus.aac.p.m4a
7,It's Now or Never,Elvis Presley,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e1/36/3b/e1363b7c-7f91-84d9-3797-45c95e1a252a/mzaf_11360456221281102196.plus.aac.p.m4a
8,Handy Man,Jimmy Jones,1960,https://audio-ssl.itunes.apple.com/itunes-assets/Music/87/e6/0b/mzm.qkreskpn.aac.p.m4a
9,Stuck on You,Elvis Presley,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/03/c9/f0/03c9f006-bcc2-1741-8aa5-313a57dd0a57/mzaf_14746499583690975352.plus.aac.p.m4a
10,The Twist,Chubby Checker,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9f/42/30/9f423052-655f-be7b-c3a9-a0a83e225c71/mzaf_10806182603821084649.plus.aac.p.m4a
11,Everybody's Somebody's Fool,Connie Francis,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/16/d2/7f/16d27ff6-0378-5e26-ac1b-78b66a5eb681/mzaf_11880498866079014875.plus.aac.p.m4a
12,Wild One,Bobby Rydell,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/da/21/ea/da21eac2-aa1f-0638-e73e-18f7f87a900e/mzaf_8827523062918879966.plus.aac.p.m4a
13,Greenfields,The Brothers Four,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/08/0f/64/080f64cc-ccfd-47b3-4476-f67c52a243d5/mzaf_471747492234583253.plus.aac.p.m4a
14,What in the World's Come Over You,Jack Scott,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4e/2e/90/4e2e9028-8dc6-98f5-2cbd-f5c6e9d94773/mzaf_18391538640289399092.plus.aac.p.m4a
15,El Paso,Marty Robbins,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/25/17/e0/2517e0dd-4150-6a61-5daf-55293e24675e/mzaf_8186875118535791045.plus.aac.p.m4a
16,Alley Oop,The Hollywood Argyles,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/b0/a4/9d/b0a49d1e-98e3-b105-3054-aaed19797f70/mzaf_7213785145847597300.plus.aac.p.m4a
17,My Heart Has a Mind of Its Own,Connie Francis,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d4/49/3f/d4493fb3-214f-c866-e28b-eb97fd16459d/mzaf_18039319818557096488.plus.aac.p.m4a
18,Sweet Nothin's,Brenda Lee,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/29/e6/53/29e653f2-0dae-5f43-4d01-f2f55efd0377/mzaf_7779904393329650091.plus.aac.p.m4a
19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/36/a2/b4/36a2b4b0-73fd-3089-f63d-a7d291874a4e/mzaf_11259201478725031895.plus.aac.p.m4a
20,Only the Lonely,Roy Orbison,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/de/04/83/de048384-0435-6a9b-b5c7-e7864b17e60b/mzaf_11468169905095526961.plus.aac.p.m4a
21,Where or When,Dion and the Belmonts,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1f/d3/fc/1fd3fc76-ffa3-fb21-f2a2-ac53cf21f8f0/mzaf_12499469769416039495.plus.aac.p.m4a
22,Sixteen Reasons,Connie Stevens,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6e/39/65/6e396598-1861-95f4-4384-44204f8e40b7/mzaf_17897719125714777387.plus.aac.p.m4a
23,Puppy Love,Paul Anka,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/df/41/3b/df413b17-c84d-5a33-8cbf-2186413cc5b6/mzaf_6531220754427984043.plus.aac.p.m4a
24,Why,Frankie Avalon,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a7/6c/33/a76c339c-9c26-1a73-9e59-aaae5469d7aa/mzaf_2848858564405108463.plus.aac.p.m4a
25,"Walk, Don't Run",The Ventures,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e2/81/d7/e281d7ad-75c6-ebb3-3279-ca3d8bc1c7fe/mzaf_9468251893390289695.plus.aac.p.m4a
26,Save the Last Dance for Me,The Drifters,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/eb/0b/3a/eb0b3ad5-65b3-002d-c339-89902f5e9006/mzaf_18081218072531408934.plus.aac.p.m4a
27,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/82/d0/a1/82d0a11f-ce30-09d5-274e-a8e8469f93ef/mzaf_16503545972026439022.plus.aac.p.m4a
28,Sink the Bismarck,Johnny Horton,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/bc/f7/6b/bcf76bdb-8cf5-ab3c-83b6-872ac1cdf1a6/mzaf_5996624634073130222.plus.aac.p.m4a
29,Chain Gang,Sam Cooke,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f4/ad/f8/f4adf800-0942-0e19-4439-8d91c3276fcc/mzaf_9907404701079308917.plus.aac.p.m4a
30,Let It Be Me,The Everly Brothers,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f5/08/51/f508515a-ff20-56a3-13de-c9af7fbe7732/mzaf_7939707528123528065.plus.aac.p.m4a
31,Good Timin',Jimmy Jones,1960,https://audio-ssl.itunes.apple.com/itunes-assets/Music/a3/87/cb/mzm.shinqwev.aac.p.m4a
32,Beyond the Sea,Bobby Darin,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/65/38/53/65385319-e8e7-c441-8891-7f300e26c642/mzaf_13929366315032702332.plus.aac.p.m4a
33,"Go, Jimmy, Go",Jimmy Clanton,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/cc/49/69/cc496911-4872-05d3-225d-1e937d96e386/mzaf_11146629118275794029.plus.aac.p.m4a
